frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
46,7.31,7.11,2.19,2.13,5.62,0.96,11.43,-0.07,-0.093,0.2
1,8.01,8.05,3.16,3.15,5.73,3.86,9.44,0.26,0.016,-0.02
1,9.18,9.33,2.16,2.25,8.0,1.77,14.3,-0.17,-0.102,0.06
2,8.87,8.96,2.75,2.77,7.91,1.97,13.67,-0.17,-0.059,0.05
3,8.87,8.96,2.75,2.77,7.91,1.97,13.67,-0.17,-0.059,0.05
4,8.65,8.78,2.81,2.87,7.95,2.02,13.76,-0.17,-0.056,0.04
5,8.6,8.77,2.84,2.91,7.69,2.1,13.82,-0.18,-0.05,0.02
1,7.01,7.06,2.72,2.68,5.72,2.88,10.87,-0.05,0.127,-0.01
2,6.96,7.0,2.75,2.7,5.78,2.94,10.77,-0.04,0.127,-0.02
3,6.82,6.88,2.84,2.79,5.8,2.98,10.72,-0.05,0.126,-0.02
4,6.78,6.83,2.88,2.83,5.8,2.91,10.82,-0.05,0.124,-0.02
5,6.73,6.78,2.99,2.95,5.79,2.84,10.76,-0.03,0.128,-0.02
6,6.75,6.81,2.84,2.8,5.79,2.78,10.84,-0.03,0.132,-0.02
7,6.72,6.75,2.82,2.78,5.81,2.95,10.74,-0.03,0.145,-0.01
8,6.68,6.72,2.88,2.83,5.85,2.84,10.77,-0.04,0.148,-0.01
9,6.72,6.76,2.82,2.78,5.78,2.96,10.72,-0.05,0.156,-0.01
10,6.8,6.84,2.68,2.63,5.76,3.13,10.84,-0.04,0.166,-0.01
11,6.72,6.76,2.82,2.79,5.81,2.9,10.57,-0.04,0.173,-0.02
12,6.67,6.72,2.77,2.75,5.88,3.01,10.83,-0.04,0.176,-0.01
13,6.63,6.68,2.9,2.87,5.88,2.91,10.78,-0.04,0.181,-0.01
14,6.64,6.68,2.8,2.77,5.92,2.95,10.78,-0.03,0.179,-0.02
15,6.64,6.69,2.83,2.78,5.89,2.71,10.65,-0.04,0.187,-0.03
16,6.65,6.73,2.73,2.71,5.9,2.89,10.64,-0.05,0.187,-0.03
17,6.64,6.71,2.81,2.78,5.84,2.72,10.69,-0.04,0.196,-0.04
18,6.6,6.64,2.94,2.9,5.89,2.6,10.62,-0.04,0.197,-0.05
19,6.69,6.75,2.65,2.63,5.93,2.81,10.59,-0.03,0.202,-0.07
20,6.61,6.67,2.82,2.81,5.92,2.92,10.63,-0.01,0.204,-0.11
21,6.6,6.66,2.77,2.79,5.96,2.82,10.79,0.01,0.199,-0.14
22,6.55,6.61,2.82,2.82,6.1,2.64,10.74,0.05,0.206,-0.21
23,6.61,6.67,2.77,2.76,6.14,2.36,10.7,0.05,0.218,-0.23
24,6.61,6.67,2.77,2.76,6.14,2.36,10.7,0.05,0.218,-0.23
25,6.65,6.71,2.66,2.66,6.24,2.08,10.92,0.03,0.237,-0.25
